LetterboxdURI,Title,Year,Directors,Rating,Avg Rating
https://boxd.it/1RMS,Strawberry and Chocolate,1993,Tomás Gutiérrez Alea,3.75,184.6
https://boxd.it/2G14,The Place Without Limits,1978,Arturo Ripstein,3.83,186.0
https://boxd.it/2pjK,Death of a Cyclist,1955,Juan Antonio Bardem,3.84,190.0
https://boxd.it/1XkU,The Strategy of the Snail,1993,Sergio Cabrera,3.74,190.6
https://boxd.it/Knu,Castle of Purity,1973,Arturo Ripstein,3.85,191.4
https://boxd.it/BFO,Placido,1961,Luis García Berlanga,3.81,191.8
https://boxd.it/1i50,Welcome Mr. Marshall!,1953,Luis García Berlanga,3.83,192.6
https://boxd.it/28Li,The Devil's Backbone,2001,Guillermo del Toro,3.82,193.0
https://boxd.it/syL6,Manticore,2022,Carlos Vermut,3.71,194.2
https://boxd.it/1gMm,A Place in the World,1992,Adolfo Aristarain,3.79,195.0
https://boxd.it/2yzi,The Dark Side of the Heart,1992,Eliseo Subiela,3.7,195.8
https://boxd.it/cj8w,Birdboy: The Forgotten Children,2015,Pedro Rivero,3.76,195.8
https://boxd.it/1e8O,Duck Season,2004,Fernando Eimbcke,3.76,199.4
https://boxd.it/TCe,Death of a Bureaucrat,1966,Tomás Gutiérrez Alea,3.87,201.2
https://boxd.it/1fPa,Cell 211,2009,Daniel Monzón,3.73,204.2
https://boxd.it/2nlE,Jackal of Nahueltoro,1969,Miguel Littín,3.67,204.8
https://boxd.it/1O7i,Herod's Law,1999,Luis Estrada,3.75,205.0
https://boxd.it/1TL8,Common Wealth,2000,Álex de la Iglesia,3.66,207.6
https://boxd.it/1ZDE,The Headless Woman,2008,Lucrecia Martel,3.6,214.0
https://boxd.it/5FkK,The Golden Dream,2013,Diego Quemada-Díez,3.84,215.2
https://boxd.it/3m2y,The Rose Seller,1998,Víctor Gaviria,3.69,216.0
https://boxd.it/6Yjo,Marshland,2014,Alberto Rodríguez,3.68,217.8
https://boxd.it/1DcQ,"Dawn Breaks, Which Is No Small Thing",1989,José Luis Cuerda,3.77,219.4
https://boxd.it/20sW,High Heels,1991,Pedro Almodóvar,3.61,219.8
https://boxd.it/19n0,Whisky,2004,Juan Pablo Rebella,3.66,220.8
https://boxd.it/20ma,[REC],2007,Jaume Balagueró,3.68,223.8
https://boxd.it/3OHO,The Hunt,1966,Carlos Saura,3.74,226.0
https://boxd.it/tWs,Mondays in the Sun,2002,Fernando León de Aranoa,3.83,229.4
https://boxd.it/oUKm,Official Competition,2021,Gastón Duprat,3.72,229.4
https://boxd.it/1bPg,Tristana,1970,Luis Buñuel,3.67,229.6
https://boxd.it/iDWI,A Twelve-Year Night,2018,Álvaro Brechner,3.77,231.6
https://boxd.it/iL3w,The Realm,2018,Rodrigo Sorogoyen,3.77,232.8
https://boxd.it/4bwu,Blancanieves,2012,Pablo Berger,3.78,234.2
https://boxd.it/6O6,Chico & Rita,2010,Fernando Trueba,3.6,234.4
https://boxd.it/1OGM,Timecrimes,2007,Nacho Vigalondo,3.67,236.4
https://boxd.it/13OY,The Wind Journeys,2009,Ciro Guerra,3.74,237.0
https://boxd.it/jO0M,The Endless Trench,2019,Aitor Arregi,3.66,237.2
https://boxd.it/3QiG,Enamorada,1946,Emilio Fernández,3.79,238.6
https://boxd.it/20yU,Broken Embraces,2009,Pedro Almodóvar,3.72,239.2
https://boxd.it/fzNc,Quién te cantará,2018,Carlos Vermut,3.65,240.2
https://boxd.it/vVEo,The Sacred Spirit,2021,Chema García Ibarra,3.6,240.4
https://boxd.it/56aU,Invasion,1969,Hugo Santiago,3.73,241.0
https://boxd.it/By4,Intimate Stories,2002,Carlos Sorín,3.7,242.8
https://boxd.it/uVv0,The Good Boss,2021,Fernando León de Aranoa,3.6,246.2
https://boxd.it/eJGe,Monos,2019,Alejandro Landes,3.69,247.2
https://boxd.it/enGc,The Distinguished Citizen,2016,Gastón Duprat,3.7,247.6
https://boxd.it/yoPk,Utama,2022,Alejandro Loayza Grisi,3.73,248.8
https://boxd.it/3A0G,Peppermint Frappé,1967,Carlos Saura,3.66,249.0
https://boxd.it/1QYS,El Topo,1970,Alejandro Jodorowsky,3.76,252.2
https://boxd.it/ibri,City of God,1997,Víctor González,3.8,254.0
https://boxd.it/oPVk,Impossible Things,2021,Ernesto Contreras,3.73,255.4
https://boxd.it/50gM,Gloria,2013,Sebastián Lelio,3.59,257.8
https://boxd.it/1IGm,El Norte,1983,Gregory Nava,3.88,261.2
https://boxd.it/3zji,Violet Perfume,2001,Maryse Sistach,3.74,262.0
https://boxd.it/4byq,7 Boxes,2012,Juan Carlos Maneglia,3.63,262.8
https://boxd.it/b53A,Beyond Oblivion,1956,Hugo del Carril,3.75,266.4
https://boxd.it/o7Ho,History of the Occult,2020,Cristian Ponce,3.58,268.6
https://boxd.it/5Cxm,The Bitter Stems,1956,Fernando Ayala,3.84,269.0
https://boxd.it/1CFC,Innocent Voices,2004,Luis Mandoki,3.77,272.6
https://boxd.it/4Mnk,The Secret Formula,1965,Rubén Gámez,3.87,273.4
https://boxd.it/fcGi,A Fantastic Woman,2017,Sebastián Lelio,3.73,275.8
https://boxd.it/3Th2,"My Son, the Hero",1961,Ismael Rodríguez,3.81,276.2
https://boxd.it/AhhO,Franco Escamilla: Clown!,2022,Franco Escamilla,3.73,278.2
https://boxd.it/h9Da,Museo,2018,Alonso Ruizpalacios,3.65,279.2
https://boxd.it/kAU4,The August Virgin,2019,Jonás Trueba,3.69,280.0
https://boxd.it/1XQ2,November,2003,Achero Mañas,3.74,280.2
https://boxd.it/1osu,Poison for the Fairies,1986,Carlos Enrique Taboada,3.64,281.6
https://boxd.it/broK,Autumn Days,1963,Roberto Gavaldón,3.81,282.2
https://boxd.it/3Biw,Let's Go with Pancho Villa!,1936,Fernando de Fuentes,3.67,283.0
https://boxd.it/2dKY,The Violin,2005,Francisco Vargas,3.74,284.8
https://boxd.it/iwtE,Memoria,2021,Apichatpong Weerasethakul,3.76,287.2
https://boxd.it/7E12,Dialogues of the Exiles,1975,Raúl Ruiz,3.56,287.4
https://boxd.it/2bLq,You’re Missing the Point,1940,Juan Bustillo Oro,3.67,288.2
https://boxd.it/gJC6,The Wandering Soap Opera,2017,Raúl Ruiz,3.48,288.6
https://boxd.it/1PIa,Waiting for the Hearse,1985,Alejandro Doria,3.82,289.6
https://boxd.it/1p8A,The Milk of Sorrow,2009,Claudia Llosa,3.64,291.2
https://boxd.it/3ypa,Main Street,1956,Juan Antonio Bardem,3.73,292.6
https://boxd.it/mWnK,Schoolgirls,2020,Pilar Palomero,3.59,297.4
https://boxd.it/oZ1m,The Kirlian Frequency,2017,Cristian Ponce,3.76,300.2
https://boxd.it/dO5U,May God Save Us,2016,Rodrigo Sorogoyen,3.66,301.4
https://boxd.it/se0,Night of the Pencils,1986,Héctor Olivera,3.61,302.0
https://boxd.it/aDDq,Zama,2017,Lucrecia Martel,3.63,305.6
https://boxd.it/qNrw,Trenque Lauquen,2022,Laura Citarella,3.91,305.8
https://boxd.it/b9Ns,Land and Shade,2015,César Augusto Acevedo,3.68,305.8
https://boxd.it/3Ycc,The Other One,1946,Roberto Gavaldón,3.76,306.4
https://boxd.it/DRPy,"20,000 Species of Bees",2023,Estíbaliz Urresola,3.77,306.6
https://boxd.it/1gmS,Train of Shadows,1997,José Luis Guerín,3.8,306.6
https://boxd.it/XDU,Blood Wedding,1981,Carlos Saura,3.84,307.4
https://boxd.it/1gYs,Common Ground,2002,Adolfo Aristarain,3.63,309.6
https://boxd.it/LrW,Chronicle of a Boy Alone,1965,Leonardo Favio,3.7,309.6
https://boxd.it/3DhA,Last Images of the Shipwreck,1989,Eliseo Subiela,3.64,310.8
https://boxd.it/1PHQ,The Aura,2005,Fabián Bielinsky,3.62,311.2
https://boxd.it/28Ne,Take My Eyes,2003,Icíar Bollaín,3.71,314.8
https://boxd.it/3qlO,The Wheelchair,1960,Marco Ferreri,3.65,315.4
https://boxd.it/XZ2,Anguish,1987,Bigas Luna,3.66,316.4
https://boxd.it/fau,El crack,1981,José Luis Garci,3.68,316.8
https://boxd.it/rUwg,My Brothers Dream Awake,2021,Claudia Huaiquimilla,3.62,317.2
https://boxd.it/4UVu,Voyage to Nowhere,1986,Fernando Fernán Gómez,3.66,317.6
https://boxd.it/uMI,Cousin Angelica,1974,Carlos Saura,3.69,317.8
https://boxd.it/56J6,Life Goes On,1963,Fernando Fernán Gómez,3.74,318.4
https://boxd.it/1ruo,The Maid,2009,Sebastián Silva,3.67,318.8
https://boxd.it/dAje,Our Time,2018,Carlos Reygadas,3.75,319.6
https://boxd.it/48Hk,The Magic Gloves,2003,Martín Rejtman,3.61,320.4
https://boxd.it/dIDc,Enough Praying,1972,Aldo Francia,3.63,322.0
https://boxd.it/Ta,The House That Screamed,1969,Chicho Ibáñez Serrador,3.51,322.6
https://boxd.it/8X0u,The Act in Question,1993,Alejandro Agresti,3.77,322.8
https://boxd.it/eUUQ,Bad Influence,2016,Claudia Huaiquimilla,3.52,324.0
https://boxd.it/LvE,The Last Supper,1976,Tomás Gutiérrez Alea,3.7,325.2
https://boxd.it/53Ve,Strange Voyage,1964,Fernando Fernán Gómez,3.74,325.4
https://boxd.it/5FbS,Heli,2013,Amat Escalante,3.55,326.0
https://boxd.it/lBma,Unicorn Wars,2022,Alberto Vázquez,3.53,326.8
https://boxd.it/cFRS,La Recta Provincia,2007,Raúl Ruiz,3.6,327.6
https://boxd.it/ishk,Buñuel in the Labyrinth of the Turtles,2018,Salvador Simó,3.51,327.8
https://boxd.it/XJe,Carmen,1983,Carlos Saura,3.7,329.2
https://boxd.it/4NK,Rebellion in Patagonia,1974,Héctor Olivera,3.6,329.6
https://boxd.it/19Pe,The Dependent,1969,Leonardo Favio,3.67,331.6
https://boxd.it/1ObE,Killing Cabos,2004,Alejandro Lozano,3.67,331.6
https://boxd.it/41Zw,Three Sad Tigers,1968,Raúl Ruiz,3.49,332.4
https://boxd.it/2wBG,Valparaiso My Love,1969,Aldo Francia,3.61,332.8
https://boxd.it/3D5u,Anna and the Wolves,1973,Carlos Saura,3.67,333.4
https://boxd.it/712g,Little White Dove,1973,Raúl Ruiz,3.52,333.6
https://boxd.it/3Ogy,The Frontier,1991,Ricardo Larraín,3.5,335.6
https://boxd.it/6Yu2,A Long Journey,1967,Patricio Kaulen,3.56,336.0
https://boxd.it/24we,The Flower of My Secret,1995,Pedro Almodóvar,3.57,337.8
https://boxd.it/9M8,25 Watts,2001,Juan Pablo Rebella,3.78,339.2
https://boxd.it/2aJ4,Live Flesh,1997,Pedro Almodóvar,3.66,340.0
https://boxd.it/4aNu,"Pizza, Beer, and Cigarettes",1998,Adrián Caetano,3.59,341.6
https://boxd.it/4com,Rosaura at 10 O'Clock,1958,Mario Soffici,3.7,342.6
https://boxd.it/1ChU,Sin Nombre,2009,Cary Joji Fukunaga,3.77,345.8
https://boxd.it/pAgy,"BARDO, False Chronicle of a Handful of Truths",2022,Alejandro González Iñárritu,3.47,345.8
https://boxd.it/Jzu,Red Dawn,1989,Jorge Fons,3.76,346.0
https://boxd.it/7VnY,Last Days of the Victim,1982,Adolfo Aristarain,3.66,350.4
https://boxd.it/xozu,Motherhood,2022,Pilar Palomero,3.59,351.8
https://boxd.it/19iE,31 Minutos: The Movie,2008,Pedro Peirano,3.62,353.8
https://boxd.it/oAl2,Memories of My Father,2020,Fernando Trueba,3.56,358.8
https://boxd.it/3KIS,The Important Man,1961,Ismael Rodríguez,3.61,359.4
https://boxd.it/6qzC,The Amazing Catfish,2013,Claudia Sainte-Luce,3.65,361.0
https://boxd.it/3xlm,Surcos,1951,José Antonio Nieves Conde,3.61,361.8
